Traceback (most recent call last):
  File "manage.py", line 8, in <module>
    from django.core.management import execute_from_command_line
ImportError: No module named django.core.management
Traceback (most recent call last):
  File "manage.py", line 8, in <module>
    from django.core.management import execute_from_command_line
ImportError: No module named django.core.management
[21/Mar/2018 00:51:55]"GET / HTTP/1.1" 404 2018
[21/Mar/2018 00:51:55]"GET /favicon.ico HTTP/1.1" 404 2051
[21/Mar/2018 00:52:03]"GET /hnph/ HTTP/1.1" 200 31220
[21/Mar/2018 00:52:03]"GET /hnph/assets/img/quote-girl-two.jpg HTTP/1.1" 404 2718
[21/Mar/2018 00:52:03]"GET /hnph/assets/img/news4.jpg HTTP/1.1" 404 2691
[21/Mar/2018 00:52:03]"GET /hnph/assets/img/news1.jpg HTTP/1.1" 404 2691
[21/Mar/2018 00:52:03]"GET /hnph/assets/img/news2.jpg HTTP/1.1" 404 2691
[21/Mar/2018 00:52:30]"GET /hnph/about/ HTTP/1.1" 200 18008
[21/Mar/2018 00:53:54]"GET /hnph/about/ HTTP/1.1" 200 18018
[21/Mar/2018 00:54:03]"GET /hnph/about/ HTTP/1.1" 200 18018
[21/Mar/2018 01:00:19]"GET /hnph/about/ HTTP/1.1" 200 18017
[21/Mar/2018 01:00:32]"GET /hnph/ HTTP/1.1" 200 31229
[21/Mar/2018 01:00:32]"GET /hnph/assets/img/quote-girl-two.jpg HTTP/1.1" 404 2718
[21/Mar/2018 01:00:32]"GET /hnph/assets/img/news1.jpg HTTP/1.1" 404 2691
[21/Mar/2018 01:00:32]"GET /hnph/assets/img/news2.jpg HTTP/1.1" 404 2691
[21/Mar/2018 01:00:32]"GET /hnph/assets/img/news4.jpg HTTP/1.1" 404 2691
[21/Mar/2018 01:00:32]"GET /hnph/assets/img/quote-girl-two.jpg HTTP/1.1" 404 2718
[21/Mar/2018 01:05:15]"GET /hnph/ HTTP/1.1" 200 31233
[21/Mar/2018 01:05:16]"GET /hnph/assets/img/quote-girl-two.jpg HTTP/1.1" 404 2718
[21/Mar/2018 01:05:16]"GET /hnph/assets/img/news2.jpg HTTP/1.1" 404 2691
